id,host_id,bathrooms_text,bedrooms,beds
7556587,39608626,1 bath,1,1
7599569,15762897,1 shared bath,1,1
9697749,43380791,1 bath,1,1
11294566,59018284,1 bath,1,1
12231304,18287406,1.5 shared baths,1,1
12324428,1702298,1 bath,1,1
16394608,37236633,1 shared bath,1,1
19054683,97907084,1 bath,1,1
21106251,25354313,1 shared bath,1,1
22372893,94088674,3 shared baths,1,1
22631617,42682752,1 shared bath,1,1
23392375,23625464,2 shared baths,1,1
24808312,15787004,2.5 shared baths,1,1
30940484,228808159,1 private bath,1,1
33454764,99108929,1 shared bath,1,2
36344450,273312989,1 shared bath,1,1
36421493,238989521,1 shared bath,1,1
37528025,198522134,1.5 shared baths,1,1
40091689,3375376,1 shared bath,1,2
42693963,19303369,1 shared bath,1,
43391999,19303369,1 shared bath,1,1
43450191,204704622,1 shared bath,1,1
44014632,204704622,1 shared bath,1,1
45673594,200239515,1 shared bath,1,1
46025535,19303369,1 shared bath,1,1
46202921,200239515,1 shared bath,1,1
47115606,3223938,1 shared bath,1,1
47940178,19303369,1 shared bath,1,1
48384916,390535864,1 shared bath,1,1
48415866,390535864,1.5 shared baths,1,1
50434376,3223938,1 shared bath,4,1
50643073,321240668,1 shared bath,1,1
51764860,3223938,1 shared bath,1,1
52497241,3223938,2 shared baths,1,1
53134187,3223938,2 shared baths,1,1
53450489,430599829,1 shared bath,1,1
53528553,430599829,1 shared bath,1,1
53988568,3223938,1 shared bath,1,1
7.55E+17,25537142,1 shared bath,1,1
11829419,62915940,1 bath,1,1
13480134,51329030,1 shared bath,1,1
13841625,23813425,1 bath,1,1
16625310,6025804,1 private bath,1,1
16766700,18451417,1 shared bath,1,1
17367175,4120523,1 shared bath,1,1
19083269,4464205,1 shared bath,1,1
19587940,137685990,1 shared bath,1,2
22176026,126397762,1 shared bath,1,1
22305350,335016,1 shared bath,1,1
22367196,163554531,1 shared bath,1,1
23235768,172889902,1 shared bath,1,1
24129287,163703392,1.5 shared baths,1,1
28908658,204704622,1 shared bath,1,1
30086614,3147746,1 shared bath,1,2
31474126,126052775,1 shared bath,1,1
40918215,19955578,1.5 shared baths,1,1
41767375,210518607,1 shared bath,1,1
42611563,19303369,1 shared bath,1,1
43391960,19303369,1 shared bath,1,1
43986380,204704622,1 shared bath,1,1
44032314,19303369,1 shared bath,1,1
44032673,204704622,1 shared bath,1,1
44121858,238989521,1 shared bath,1,1
44520855,19303369,1 shared bath,1,1
45235972,200239515,1 shared bath,1,1
46211541,29857291,1 shared bath,1,
46563507,3223938,2 shared baths,1,1
48111511,3223938,2 shared baths,1,1
48267691,3223938,1 shared bath,1,1
48384920,390535864,1 shared bath,1,1
50091740,3223938,1 shared bath,1,1
50786108,3223938,2 shared baths,1,1
51444428,3223938,1 shared bath,1,1
51918355,3223938,1 shared bath,1,1
52509268,3223938,2 shared baths,1,1
52565735,3223938,2 shared baths,1,1
52608288,3223938,1 shared bath,1,1
53478036,373968580,1 shared bath,1,1
53673650,232251881,1 shared bath,1,1
5.40E+17,3223938,2 shared baths,1,1
5.41E+17,440316434,1 shared bath,1,1
5.41E+17,440316434,1 shared bath,1,1
5.55E+17,3223938,1 shared bath,1,1
5.81E+17,3223938,1 shared bath,1,1
5.85E+17,3223938,1 shared bath,1,1
6.26E+17,65976155,1 shared bath,1,1
6.46E+17,250376883,1 shared bath,1,1
7.59E+17,391942286,1 shared bath,1,1
7.67E+17,488854932,2 shared baths,1,2
7.67E+17,488855227,2 shared baths,1,2
1458987,7645338,1 shared bath,1,1
2477138,9089934,1 bath,1,1
2563764,13125674,1 bath,1,1
2592640,13272957,1 bath,1,1
2876032,14103991,1 shared bath,1,1
3039110,8159536,1 bath,4,4
3215722,496465,1 shared bath,1,1
3360707,16954768,1 bath,1,1
3368427,4044499,1 bath,1,1
3497198,15730873,1 bath,1,1
3655007,18492106,1 shared bath,1,1
5181720,5399418,2 baths,1,1
6166870,13708762,1 shared bath,1,1
7664692,40124500,1 shared bath,1,1
7789678,40995200,1 bath,1,1
8015917,12474780,1 bath,1,1
8802289,26033344,1.5 baths,1,1
8887748,46501842,1 bath,1,1
9821359,50588693,1 bath,1,1
9874418,7410082,1 bath,1,1
9938594,45928403,1 bath,1,1
10100512,271073,1 bath,1,1
10383291,53450065,1 bath,1,1
10848827,34698196,1 bath,1,1
11271036,8145820,1.5 baths,1,1
11316570,3530018,1 shared bath,1,1
12650830,68585649,1 shared bath,1,1
12869174,817948,1 bath,1,1
12953234,3664485,1 shared bath,1,1
13057103,27634654,1 shared bath,1,1
13282284,42682752,1 shared bath,1,1
13769222,80780369,1 bath,1,1
13814281,48985309,1 shared bath,1,1
14322170,21697957,1 bath,1,1
15223454,627678,0 baths,1,1
16190110,19238497,1 bath,1,1
16276294,32625342,1 shared bath,1,1
16662770,42682752,1 shared bath,1,1
17480547,83351115,1 bath,1,1
18560625,128852127,1 shared bath,1,1
18813227,51380878,1 shared bath,1,1
19922819,10642725,1 shared bath,1,1
20523843,15787004,2.5 shared baths,1,2
20916311,22565156,1 shared bath,1,1
21204122,4464205,1 shared bath,1,1
21512977,26804769,1.5 shared baths,1,1
21515092,102599996,1 shared bath,1,1
22019912,13208109,1 shared bath,1,1
22436168,22507599,1 shared bath,,1
22546236,133825714,1 shared bath,1,2
22578161,76664098,1 shared bath,1,1
23803836,55339775,1 bath,1,3
23980153,180378787,1 shared bath,1,1
24553427,49505120,2 shared baths,1,1
24735722,43825074,2 shared baths,1,1
25355282,26996515,1.5 shared baths,1,1
25475944,191804394,1 shared bath,1,1
25491908,6778614,1 shared bath,1,1
26331103,32060911,1 shared bath,1,1
27393151,143084679,1 shared bath,1,1
27965802,154678310,1 shared bath,1,1
28464767,44260966,1 shared bath,1,1
28950019,43044876,1 shared bath,1,1
29037141,44260966,1 shared bath,1,1
29944408,200239515,1 shared bath,1,1
30129959,195452338,1 shared bath,1,1
30747260,28821748,1 shared bath,1,1
31064733,6367348,1 shared bath,1,1
31286946,88484548,1 shared bath,1,1
31383493,166432964,2 shared baths,1,1
33143544,19303369,1 bath,1,1
33560762,252855885,1 shared bath,1,1
33854066,255448841,2 shared baths,1,1
34180340,181233778,1 shared bath,1,1
34462649,176899233,1 shared bath,1,
34792347,233755743,1 shared bath,1,1
36281984,45909314,2 shared baths,1,1
37039174,164519659,1 shared bath,1,1
37217928,14103991,1 shared bath,1,2
38104307,288480550,1 bath,1,1
38359468,49494045,1 bath,1,1
39385381,285299217,1 shared bath,1,2
39955583,15787004,2.5 shared baths,1,1
40264477,286080229,1 shared bath,1,1
40419375,312410720,1 shared bath,1,1
40432012,9478555,2 shared baths,1,2
40470721,163703392,1.5 shared baths,1,1
40946280,126906679,1 shared bath,1,1
41006656,275548200,1 shared bath,1,1
41374977,306349662,1 shared bath,1,1
41375705,306349662,1 shared bath,1,1
41670313,169413988,1 shared bath,1,1
42133129,4136824,1 shared bath,1,1
43769019,348756875,1 shared bath,1,1
43862488,204704622,1 shared bath,1,1
43986438,204704622,1 shared bath,1,1
44012173,204704622,1 shared bath,1,1
44338565,20118062,1 shared bath,1,1
44394499,19303369,1 shared bath,1,1
44394628,19303369,1 shared bath,1,1
45064161,19303369,1 shared bath,1,1
45300663,19303369,1 shared bath,1,1
45622013,19303369,1 shared bath,1,1
45696799,204704622,2.5 shared baths,1,1
45951602,19303369,1 shared bath,1,1
45951781,204704622,1 shared bath,1,1
46151252,3223938,1 shared bath,1,1
46214998,204704622,1 shared bath,1,1
46732441,168927293,1 shared bath,,
47334663,20044978,1 shared bath,1,1
48103216,204704622,1 shared bath,1,1
48149253,204704622,2.5 shared baths,1,1
48214528,204704622,1 shared bath,1,1
48312829,255526462,1.5 shared baths,1,1
49079517,8524356,1 shared bath,1,
50099111,3223938,1 shared bath,1,1
50365468,3223938,1 shared bath,1,1
50586925,204704622,1 shared bath,1,1
50653691,3223938,1 shared bath,1,1
50767112,3223938,1 shared bath,1,1
51277612,3223938,2 shared baths,1,1
51402328,3223938,1 shared bath,1,1
52459468,3223938,1 shared bath,1,1
52896103,3223938,1 shared bath,1,1
52905602,3223938,1 shared bath,1,1
52948831,3223938,1 shared bath,1,1
53191182,430599829,1 shared bath,1,1
53217176,106660574,1 shared bath,1,1
53433109,204704622,1 shared bath,1,1
53732005,3223938,1 shared bath,1,1
53773798,14103991,1 shared bath,1,1
5.70E+17,19303369,1 shared bath,1,1
5.71E+17,200239515,1 shared bath,1,1
5.75E+17,204704622,1 shared bath,1,1
6.29E+17,19303369,1 shared bath,1,1
6.29E+17,19303369,1 shared bath,1,1
6.30E+17,200239515,1 shared bath,1,1
6.30E+17,200239515,1 shared bath,1,1
6.30E+17,204704622,1 shared bath,1,1
6.30E+17,204704622,1 shared bath,1,1
6.30E+17,204704622,1 shared bath,1,1
6.30E+17,204704622,1 shared bath,1,1
6.32E+17,460354604,1 shared bath,1,1
6.56E+17,4612212,1 shared bath,1,1
6.60E+17,204704622,1.5 shared baths,1,1
6.81E+17,19303369,1 shared bath,1,1
6.81E+17,204704622,1 shared bath,1,1
7.19E+17,19303369,1 shared bath,1,1
7.19E+17,200239515,1 shared bath,1,1
7.23E+17,3223938,2 shared baths,1,1
7.24E+17,200239515,1 shared bath,1,1
7.31E+17,482278094,1 shared bath,1,1
7.36E+17,19303369,1 shared bath,1,1
7.37E+17,166485120,0 baths,1,
7.66E+17,488760226,1 shared bath,1,1
3317978,16751902,2 baths,1,1
4758601,24554369,1 bath,1,1
5352301,27741331,1 shared bath,3,1
5749147,860636,1 shared bath,1,1
6015754,8636732,1 bath,1,1
6494256,33527075,1 shared bath,1,3
9616729,49754509,1 bath,1,1
9759704,6706379,1 bath,1,1
11377233,42626435,1 bath,1,1
16321597,26004891,1 bath,1,1
16370096,16627758,1 bath,1,1
17716225,84548731,1.5 baths,1,1
18655886,68017798,1 shared bath,1,1
20873362,5278391,1 shared bath,1,1
21618022,129627879,1 shared bath,1,1
22195204,162174536,1 shared bath,1,1
26877276,64540550,1 shared bath,1,1
29906233,224874182,1 shared bath,1,2
30378211,200401254,1 shared bath,1,1
33763207,253753123,1 shared bath,1,1
33833257,255448841,2 shared baths,1,1
42632022,216235179,2.5 shared baths,1,2
45223844,200239515,2.5 shared baths,1,1
46156111,3223938,2 shared baths,1,1
